backend,model,physical_units,concurrency,repetition,requests,throughput_rps,mean_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,error_rate,timestamp_unix
wasmtime,kmeans,20,1,36,5000,6838.906319480,0.140425105,0.136731000,0.143381600,0.181294850,0.189223020,1.795482000,0.000000000,1788131812.114505
wasmtime,kmeans,20,1,37,5000,6715.234350558,0.143001461,0.139061500,0.145336800,0.183028450,0.191369070,1.760094000,0.000000000,1788131815.249918
wasmtime,kmeans,20,1,38,5000,6759.086914665,0.142072486,0.138597000,0.144767600,0.181856050,0.189369830,1.786864000,0.000000000,1788131818.512983
wasmtime,kmeans,20,1,39,5000,6741.270727047,0.142578702,0.138615500,0.144829700,0.182449950,0.190503870,1.803328000,0.000000000,1788131821.627691
wasmtime,kmeans,20,1,40,5000,5316.093341327,0.180659632,0.167816500,0.215158200,0.218348800,0.224366700,2.247576000,0.000000000,1788131825.253406
wasmtime,kmeans,20,1,41,5000,6740.646040514,0.142484362,0.138791000,0.144741800,0.182423700,0.192277280,1.824100000,0.000000000,1788131828.368613
wasmtime,kmeans,20,1,42,5000,6714.682096479,0.143134244,0.139296500,0.145863200,0.183631050,0.191332780,1.805581000,0.000000000,1788131831.480880
wasmtime,kmeans,20,1,43,5000,6831.684006025,0.140624615,0.136458500,0.144429600,0.183073900,0.191032460,1.713044000,0.000000000,1788131834.596372
wasmtime,kmeans,20,1,44,5000,6775.560740700,0.141710292,0.138129500,0.144304500,0.182112650,0.189378920,1.773083000,0.000000000,1788131837.707530
wasmtime,kmeans,20,1,45,5000,6791.586415332,0.141295559,0.137678000,0.143813400,0.181618750,0.189006950,1.764835000,0.000000000,1788131840.805208
wasmtime,kmeans,20,1,46,5000,6653.294006720,0.144319301,0.138404500,0.147186600,0.183652200,0.210408440,2.697012000,0.000000000,1788131843.922533
wasmtime,kmeans,20,1,47,5000,6775.615510765,0.141795238,0.138056500,0.144375900,0.182519650,0.190061480,1.776719000,0.000000000,1788131847.023628
wasmtime,kmeans,20,1,48,5000,6828.650233299,0.140619754,0.136574000,0.143386200,0.180687150,0.188859300,1.786899000,0.000000000,1788131850.116753
wasmtime,kmeans,20,1,49,5000,6753.164098455,0.142332214,0.138681500,0.144693100,0.182088050,0.189180630,1.824863000,0.000000000,1788131853.222220
wasmtime,kmeans,20,1,50,5000,6720.655746813,0.143033135,0.139305500,0.145512300,0.182659150,0.191865570,1.795580000,0.000000000,1788131856.350463
wasmtime,kmeans,20,1,51,5000,6768.104518196,0.141906291,0.138270000,0.144631400,0.181849150,0.188933160,1.806843000,0.000000000,1788131859.457605
wasmtime,kmeans,20,1,52,5000,6764.377558839,0.142043599,0.138386000,0.144727500,0.182194400,0.190278610,1.781468000,0.000000000,1788131862.564542
wasmtime,kmeans,20,1,53,5000,6796.386793632,0.141341697,0.137691000,0.143784000,0.181447900,0.189509540,1.792184000,0.000000000,1788131865.878451
wasmtime,kmeans,20,1,54,5000,6672.554733297,0.144038415,0.140182500,0.146417800,0.182807750,0.190837230,1.805579000,0.000000000,1788131869.000888
wasmtime,kmeans,20,1,55,5000,6779.936275388,0.141780713,0.138007000,0.144342200,0.182925100,0.190699680,1.775359000,0.000000000,1788131872.102150
wasmtime,kmeans,20,1,56,5000,6724.065075851,0.142877934,0.139147500,0.145479500,0.182943850,0.189748020,1.796105000,0.000000000,1788131875.413448
wasmtime,kmeans,20,1,57,5000,6787.703116158,0.141532009,0.137000500,0.145118900,0.183112100,0.191490080,1.785653000,0.000000000,1788131878.522444
wasmtime,kmeans,20,1,58,5000,7037.670619743,0.136331627,0.132178500,0.140925100,0.180573050,0.187931060,1.813977000,0.000000000,1788131881.770414
wasmtime,kmeans,20,1,59,5000,6770.926311051,0.141814035,0.138061500,0.144900900,0.182268100,0.191166460,1.830526000,0.000000000,1788131885.070333
wasmtime,kmeans,20,1,60,5000,6829.191536787,0.140637844,0.136857000,0.143314300,0.181160100,0.188746310,1.782651000,0.000000000,1788131888.162864
wasmtime,kmeans,20,2,1,5000,9160.148063722,0.212483857,0.203486500,0.212620900,0.305589550,0.314039860,1.976736000,0.000000000,1788131890.888518
wasmtime,kmeans,20,2,2,5000,7450.769197629,0.261058520,0.209864000,0.327323400,0.342988100,0.387490970,2.686702000,0.000000000,1788131893.829381
wasmtime,kmeans,20,2,3,5000,9109.658013937,0.213600882,0.204712000,0.213932300,0.308291700,0.319095640,2.019721000,0.000000000,1788131896.557235
wasmtime,kmeans,20,2,4,5000,9090.262740504,0.214107705,0.205203500,0.214703200,0.309548050,0.319061760,1.969685000,0.000000000,1788131899.284148
wasmtime,kmeans,20,2,5,5000,9170.038544338,0.212140251,0.203033000,0.212364600,0.307373800,0.318017630,1.956476000,0.000000000,1788131902.250937
wasmtime,kmeans,20,2,6,5000,9103.654716149,0.213782919,0.204795500,0.213714600,0.309142550,0.318690660,1.990315000,0.000000000,1788131904.973371
wasmtime,kmeans,20,2,7,5000,9102.688117981,0.213792351,0.204787500,0.214244800,0.307988550,0.320429660,2.003823000,0.000000000,1788131907.694169
wasmtime,kmeans,20,2,8,5000,9105.352480448,0.213701942,0.204682000,0.213646200,0.307780500,0.316727990,1.974670000,0.000000000,1788131910.415065
wasmtime,kmeans,20,2,9,5000,9163.664000208,0.212398966,0.203494000,0.212181500,0.307099300,0.316572410,2.010699000,0.000000000,1788131913.137369
wasmtime,kmeans,20,2,10,5000,9131.348381780,0.213100043,0.204127000,0.213451600,0.308498650,0.317064690,1.951579000,0.000000000,1788131916.063359
wasmtime,kmeans,20,2,11,5000,9186.939805449,0.211821532,0.202942000,0.211795100,0.305710900,0.316328840,1.979959000,0.000000000,1788131918.783627
wasmtime,kmeans,20,2,12,5000,9141.497911415,0.212871346,0.203851000,0.213360400,0.308138300,0.317715320,1.992741000,0.000000000,1788131921.502196
wasmtime,kmeans,20,2,13,5000,9104.406573458,0.213747310,0.204844500,0.214951800,0.307818200,0.319363300,2.009451000,0.000000000,1788131924.230882
wasmtime,kmeans,20,2,14,5000,9174.883408753,0.212133768,0.202949500,0.212046100,0.308368800,0.318609120,1.992873000,0.000000000,1788131926.950639
wasmtime,kmeans,20,2,15,5000,9120.332009080,0.213321245,0.204251000,0.214328500,0.308156300,0.319888040,2.009658000,0.000000000,1788131929.671364
wasmtime,kmeans,20,2,16,5000,9136.928108380,0.213020354,0.203980500,0.212870200,0.307499400,0.317013770,1.988886000,0.000000000,1788131932.394953
wasmtime,kmeans,20,2,17,5000,9073.106618714,0.214445921,0.205342000,0.214171600,0.309578000,0.318887320,2.013066000,0.000000000,1788131935.114463
wasmtime,kmeans,20,2,18,5000,9105.313016761,0.213707448,0.204849000,0.213733400,0.307081550,0.317846720,1.991104000,0.000000000,1788131937.830943
wasmtime,kmeans,20,2,19,5000,9146.343267610,0.212797795,0.203866500,0.212798200,0.307834250,0.317443680,1.992361000,0.000000000,1788131940.554795
wasmtime,kmeans,20,2,20,5000,9171.347845089,0.212196090,0.203051000,0.212048400,0.306497600,0.315890350,2.005864000,0.000000000,1788131943.277648
wasmtime,kmeans,20,4,1,5000,9381.785214302,0.420085321,0.403059500,0.424490700,0.604506100,0.628185070,2.252115000,0.000000000,1788131945.968447
wasmtime,kmeans,20,4,2,5000,9459.374046284,0.416637512,0.398600500,0.420414600,0.601366950,0.620314550,2.301668000,0.000000000,1788131948.648540
wasmtime,kmeans,20,4,3,5000,9465.929629448,0.416314365,0.399173500,0.421429400,0.600763650,0.623693130,2.278319000,0.000000000,1788131951.335397
wasmtime,kmeans,20,4,4,5000,9406.857163374,0.418971582,0.400867500,0.422595000,0.605709300,0.623572740,2.400142000,0.000000000,1788131954.021413
wasmtime,kmeans,20,4,5,5000,9503.583755925,0.414741023,0.397194000,0.419525000,0.598704450,0.620576340,2.272556000,0.000000000,1788131956.702448
wasmtime,kmeans,20,4,6,5000,9475.596156895,0.415939305,0.397947500,0.418996000,0.602231250,0.622599160,2.295938000,0.000000000,1788131959.385304
wasmtime,kmeans,20,4,7,5000,9450.396380455,0.417075176,0.399909000,0.421814900,0.601947950,0.622953040,2.366556000,0.000000000,1788131962.068798
wasmtime,kmeans,20,4,8,5000,9444.606194117,0.417315498,0.399961500,0.421863000,0.603816600,0.622836210,2.260114000,0.000000000,1788131964.777807
wasmtime,kmeans,20,4,9,5000,9487.393184062,0.415463101,0.398379000,0.418916100,0.600473150,0.621194940,2.292984000,0.000000000,1788131967.466669
wasmtime,kmeans,20,4,10,5000,9338.802024366,0.422148379,0.402383000,0.426469500,0.610136150,0.630722630,2.735856000,0.000000000,1788131970.369074
wasmtime,kmeans,20,4,11,5000,9483.225146994,0.415623916,0.398191000,0.419139700,0.598650850,0.615757500,2.288301000,0.000000000,1788131973.053798
wasmtime,kmeans,20,4,12,5000,9497.463719598,0.414895486,0.397378500,0.419491500,0.599897850,0.616385520,2.250084000,0.000000000,1788131975.743483
wasmtime,kmeans,20,4,13,5000,9517.679896697,0.414127902,0.396235500,0.418582900,0.599821600,0.619802470,2.261980000,0.000000000,1788131978.419730
wasmtime,kmeans,20,4,14,5000,9506.782112973,0.414693601,0.396197000,0.418067300,0.605287500,0.619746390,2.286511000,0.000000000,1788131981.092998
wasmtime,kmeans,20,4,15,5000,9406.821965440,0.419058784,0.400196000,0.421917400,0.605469650,0.635214470,2.966395000,0.000000000,1788131983.778378
wasmtime,kmeans,20,4,16,5000,9430.931586154,0.417957284,0.400245000,0.421717000,0.602780250,0.622543310,2.260373000,0.000000000,1788131986.470608
wasmtime,kmeans,20,4,17,5000,9424.112735389,0.418196989,0.401055000,0.423186900,0.603192550,0.620611290,2.259378000,0.000000000,1788131989.161529
wasmtime,kmeans,20,4,18,5000,9384.663777612,0.420028461,0.402313000,0.423880000,0.603095200,0.624495620,2.291503000,0.000000000,1788131991.850541
wasmtime,kmeans,20,4,19,5000,9510.568494776,0.414440704,0.396649500,0.418585400,0.601298650,0.621338580,2.260600000,0.000000000,1788131994.538828
wasmtime,kmeans,20,4,20,5000,9470.033621182,0.416263984,0.398723500,0.420825000,0.600418500,0.620874940,2.269270000,0.000000000,1788131997.219336
wasmtime,kmeans,20,8,1,5000,9736.144732853,0.814577101,0.779039000,0.799749500,1.175126650,1.214953630,2.665450000,0.000000000,1788131999.866512
wasmtime,kmeans,20,8,2,5000,9668.201518138,0.820399902,0.784573500,0.808100000,1.185011800,1.224998730,2.741892000,0.000000000,1788132002.520475
wasmtime,kmeans,20,8,3,5000,9752.352067475,0.813294799,0.777784000,0.798510400,1.176410650,1.223061240,2.808977000,0.000000000,1788132005.168605
wasmtime,kmeans,20,8,4,5000,9694.782948238,0.818140668,0.782790500,0.801046300,1.186809700,1.235374360,2.901771000,0.000000000,1788132007.825667
wasmtime,kmeans,20,8,5,5000,9760.484024793,0.812664548,0.777149500,0.796611700,1.174597700,1.217474430,2.753211000,0.000000000,1788132010.478637
wasmtime,kmeans,20,8,6,5000,9679.761919117,0.819355688,0.783807500,0.804805300,1.189333500,1.246077870,2.879997000,0.000000000,1788132013.128416
wasmtime,kmeans,20,8,7,5000,9732.580735241,0.814902902,0.779626000,0.803408900,1.177960300,1.215161070,2.733492000,0.000000000,1788132015.786348
wasmtime,kmeans,20,8,8,5000,9684.048667837,0.819030776,0.783225000,0.803637000,1.186400900,1.229357520,2.701028000,0.000000000,1788132018.443915
wasmtime,kmeans,20,8,9,5000,9723.981283580,0.815654136,0.780271500,0.801493800,1.178194700,1.235802380,2.734951000,0.000000000,1788132021.096137
wasmtime,kmeans,20,8,10,5000,9709.527447541,0.816917981,0.779555500,0.801568600,1.190948050,1.244854810,3.421080000,0.000000000,1788132023.753072
wasmtime,kmeans,20,8,11,5000,9696.993210484,0.817898862,0.780710500,0.807275700,1.184089100,1.240255280,2.700388000,0.000000000,1788132026.407254
wasmtime,kmeans,20,8,12,5000,9760.352962939,0.812525074,0.776837000,0.796946700,1.179644050,1.212361120,2.774718000,0.000000000,1788132029.058968
wasmtime,kmeans,20,8,13,5000,9672.784840274,0.819949295,0.781041000,0.814430600,1.179521950,1.226131800,2.752426000,0.000000000,1788132031.717340
wasmtime,kmeans,20,8,14,5000,9697.891967600,0.817821033,0.782333500,0.805629700,1.178771950,1.217308950,2.752366000,0.000000000,1788132034.413683
wasmtime,kmeans,20,8,15,5000,9771.006503997,0.811779373,0.776281500,0.796439500,1.181145600,1.222931160,2.715107000,0.000000000,1788132037.066637
wasmtime,kmeans,20,8,16,5000,9685.979087019,0.818883112,0.783464500,0.802706800,1.181688950,1.230615430,2.668067000,0.000000000,1788132039.718962
wasmtime,kmeans,20,8,17,5000,9699.276158127,0.817740781,0.781871500,0.802317800,1.182945600,1.217675430,2.719013000,0.000000000,1788132042.370771
wasmtime,kmeans,20,8,18,5000,9690.413177826,0.818485988,0.783143000,0.803586100,1.186983550,1.219995290,2.870319000,0.000000000,1788132045.032390
wasmtime,kmeans,20,8,19,5000,9710.383743424,0.816786830,0.780999500,0.800061600,1.179941050,1.222037890,2.747583000,0.000000000,1788132047.691789
wasmtime,kmeans,20,8,20,5000,9710.153416691,0.816786914,0.780809000,0.801578400,1.185905300,1.231344700,2.740531000,0.000000000,1788132050.340887
wasmtime,kmeans,20,16,1,5000,9885.277286648,1.607680096,1.539074000,1.569882400,2.325198850,2.364167480,5.236151000,0.000000000,1788132052.980376
wasmtime,kmeans,20,16,2,5000,9948.011587421,1.597445387,1.527890000,1.557036200,2.313283150,2.372003380,4.884483000,0.000000000,1788132055.613527
wasmtime,kmeans,20,16,3,5000,9979.597931053,1.592506653,1.522301500,1.551126600,2.310613400,2.356217710,4.976109000,0.000000000,1788132058.244083
wasmtime,kmeans,20,16,4,5000,9935.697260013,1.599657259,1.529946500,1.558077000,2.318770600,2.362676920,5.135067000,0.000000000,1788132060.876443
wasmtime,kmeans,20,16,5,5000,9950.334326968,1.597124440,1.527157000,1.557949700,2.321570950,2.381447660,5.293465000,0.000000000,1788132063.514118
wasmtime,kmeans,20,16,6,5000,9952.671149830,1.596810835,1.526855000,1.554401100,2.315787850,2.364082770,4.994739000,0.000000000,1788132066.141519
wasmtime,kmeans,20,16,7,5000,9924.317397225,1.601394993,1.527440000,1.559709100,2.325114950,2.371411030,5.143059000,0.000000000,1788132068.770204
wasmtime,kmeans,20,16,8,5000,10033.237127616,1.584061663,1.513602000,1.543185600,2.312061700,2.352491800,4.965951000,0.000000000,1788132071.401405
wasmtime,kmeans,20,16,9,5000,9867.950152230,1.610338404,1.535182500,1.681577100,2.319252450,2.363794450,5.349816000,0.000000000,1788132074.041661
wasmtime,kmeans,20,16,10,5000,9983.063129108,1.591958017,1.522562000,1.553085200,2.307284400,2.354292280,5.199835000,0.000000000,1788132076.671543
wasmtime,kmeans,20,16,11,5000,9869.885224637,1.610310349,1.542052000,1.570029000,2.326327400,2.368618650,5.028770000,0.000000000,1788132079.305673
wasmtime,kmeans,20,16,12,5000,9961.706925553,1.595518287,1.525609500,1.556095300,2.310351350,2.351312640,5.120342000,0.000000000,1788132081.934532
wasmtime,kmeans,20,16,13,5000,9911.191475966,1.603617251,1.533809000,1.562686500,2.329152450,2.376979560,5.173361000,0.000000000,1788132084.596403
