backend,model,physical_tenants,repetition,rss_mib,pss_mib,private_mib,warmup_requests_per_unit,memory_samples,timestamp_unix
wasmtime,random_forest,200,10,44.593750000,36.259960937,36.140625000,100,5,1787785593.459658
wasmtime,random_forest,200,11,44.164062500,35.810156250,35.710937500,100,5,1787785600.148351
wasmtime,random_forest,200,12,43.804687500,35.450195312,35.351562500,100,5,1787785606.507772
wasmtime,random_forest,200,13,43.199218750,34.851171875,34.746093750,100,5,1787785612.967613
wasmtime,random_forest,200,14,44.835937500,36.499023438,36.378906250,100,5,1787785619.202933
wasmtime,random_forest,200,15,43.464843750,35.109960937,35.011718750,100,5,1787785625.692315
wasmtime,random_forest,200,16,43.992187500,35.644531250,35.539062500,100,5,1787785631.726610
wasmtime,random_forest,200,17,44.632812500,36.260742188,36.144531250,100,5,1787785638.023799
wasmtime,random_forest,200,18,45.074218750,36.706054688,36.574218750,100,5,1787785644.670517
wasmtime,random_forest,200,19,45.066406250,36.728515625,36.609375000,100,5,1787785652.012594
wasmtime,random_forest,200,20,43.968750000,35.610351562,35.500000000,100,5,1787785658.459355
