backend,pair,model_a,model_b,repetition,a_throughput_rps,a_p95_latency_ms,a_p99_latency_ms,a_error_rate,b_throughput_rps,b_p95_latency_ms,b_p99_latency_ms,b_error_rate,timestamp_unix
docker,svm_mlp,svm,mlp,1,2660.515628282657,12.40747655,14.010774480000027,0.0,2660.8211956777686,12.38816095,13.949138130000017,0.0,1788126140.4614956
docker,svm_mlp,svm,mlp,2,2693.787931918102,12.335816150000001,13.75272554000001,0.0,2694.0865611005543,12.332002150000001,13.431857930000021,0.0,1788126172.5781481
docker,svm_mlp,svm,mlp,3,2711.2948176759373,12.28312395,13.971523020000017,0.0,2711.6065762253625,12.259182449999999,13.575702850000079,0.0,1788126204.2801127
docker,svm_mlp,svm,mlp,4,2716.4860266782,12.17827975,13.837068940000018,0.0,2716.7904797912734,12.17904745,13.42754691000003,0.0,1788126234.9409077
docker,svm_mlp,svm,mlp,5,2722.709147302676,12.158095000000001,13.413882930000012,0.0,2722.860757183135,12.15010975,13.471227440000073,0.0,1788126266.4747617
docker,svm_mlp,svm,mlp,6,2697.440225570756,12.28664165,13.747756630000021,0.0,2673.841092360848,12.319669750000001,13.49616176000009,0.0,1788126297.787652
docker,svm_mlp,svm,mlp,7,2727.7558914908395,12.1888346,13.72164614000003,0.0,2703.8364696534104,12.1704549,13.404094950000003,0.0,1788126329.262836
docker,svm_mlp,svm,mlp,8,2732.924346328139,12.16472545,13.707813630000015,0.0,2708.2882926952516,12.14724105,13.812096210000014,0.0,1788126360.604035
docker,svm_mlp,svm,mlp,9,2755.6866823164446,12.00558355,13.354144100000022,0.0,2755.907452210184,12.01383735,13.660895790000005,0.0,1788126391.9096968
docker,svm_mlp,svm,mlp,10,2699.573970444661,12.2616671,13.49727961000004,0.0,2699.7193403957467,12.259469450000001,13.553841820000063,0.0,1788126423.433162
docker,svm_mlp,svm,mlp,11,2728.069305554344,12.11700225,13.74166713,0.0,2728.4474134203388,12.0987218,13.75425221,0.0,1788126454.7297554
docker,svm_mlp,svm,mlp,12,2733.92564250076,12.11795825,13.539519330000003,0.0,2710.389556525458,12.124676650000001,13.24043596000004,0.0,1788126486.1359844
docker,svm_mlp,svm,mlp,13,2717.6061177196066,12.1899075,13.650225590000023,0.0,2717.820417247392,12.20018,13.76756812000001,0.0,1788126517.6070104
docker,svm_mlp,svm,mlp,14,2755.6840959839424,12.05117005,13.364162480000026,0.0,2755.864704665163,12.018787600000001,13.23611787000008,0.0,1788126548.894915
docker,svm_mlp,svm,mlp,15,2691.8816060766153,12.287498900000001,13.533575490000006,0.0,2668.813768526778,12.28855005,13.446339770000012,0.0,1788126580.4636006
docker,svm_mlp,svm,mlp,16,2712.639217930005,12.210464049999999,13.419389420000002,0.0,2712.8424392481634,12.226153850000001,13.705620560000016,0.0,1788126611.902936
docker,svm_mlp,svm,mlp,17,2721.3190006768327,12.1478423,13.563185850000082,0.0,2721.4652590220785,12.173408649999999,13.383302590000014,0.0,1788126643.3195176
docker,svm_mlp,svm,mlp,18,2714.0363320142405,12.25336855,13.748782620000004,0.0,2714.271830036337,12.2617291,13.314024480000008,0.0,1788126674.8432386
docker,svm_mlp,svm,mlp,19,2706.7503538555065,12.22031395,13.951042350000026,0.0,2707.09864654568,12.209115650000001,13.587505490000016,0.0,1788126706.3283856
docker,svm_mlp,svm,mlp,20,2748.069758954871,12.07397305,13.57957563000001,0.0,2748.442297044608,12.068896800000001,13.040486040000026,0.0,1788126738.0264704
