backend,pair,model_a,model_b,repetition,a_throughput_rps,a_p95_latency_ms,a_p99_latency_ms,a_error_rate,b_throughput_rps,b_p95_latency_ms,b_p99_latency_ms,b_error_rate,timestamp_unix
docker,lr_lr,logistic_regression,logistic_regression,1,2951.145309297408,11.1978648,12.266725760000002,0.0,2924.0027731679484,11.19477195,12.040908250000003,0.0,1788120104.1918063
docker,lr_lr,logistic_regression,logistic_regression,2,2901.452795025483,11.4487719,12.393325240000008,0.0,2901.722258063836,11.4280346,12.323070470000006,0.0,1788120135.3711572
docker,lr_lr,logistic_regression,logistic_regression,3,2841.295829488161,11.66637635,12.595597260000007,0.0,2815.338727818442,11.7094013,12.635059080000007,0.0,1788120166.776625
docker,lr_lr,logistic_regression,logistic_regression,4,2942.6924437865055,11.2117822,12.029263740000008,0.0,2942.98601879081,11.21111805,11.9933931,0.0,1788120198.1311774
docker,lr_lr,logistic_regression,logistic_regression,5,2899.960864098834,11.37249805,12.308702010000037,0.0,2900.3017385079056,11.3668664,12.375622250000003,0.0,1788120229.3313994
docker,lr_lr,logistic_regression,logistic_regression,6,2912.5381459754794,11.39214445,12.214778230000004,0.0,2912.9004132899336,11.36327635,12.383953740000006,0.0,1788120260.6489289
docker,lr_lr,logistic_regression,logistic_regression,7,2938.6691399460788,11.23603395,12.31524768000004,0.0,2913.728404953902,11.243596250000001,12.092162630000017,0.0,1788120292.064614
docker,lr_lr,logistic_regression,logistic_regression,8,2858.7286052616355,11.567740550000002,12.52820372000001,0.0,2828.494630085303,11.57832845,12.48406993,0.0,1788120323.4356067
docker,lr_lr,logistic_regression,logistic_regression,9,2954.2431083315714,11.17663725,12.281897290000007,0.0,2954.68149044295,11.16639455,12.00516609000001,0.0,1788120354.656224
docker,lr_lr,logistic_regression,logistic_regression,10,2942.582627218887,11.234826250000001,12.204137780000009,0.0,2917.3609526901487,11.2547707,12.111297950000031,0.0,1788120385.880239
docker,lr_lr,logistic_regression,logistic_regression,11,2947.637433093512,11.213113799999999,12.267601250000014,0.0,2922.498185244773,11.2154053,11.961636590000008,0.0,1788120417.3394184
docker,lr_lr,logistic_regression,logistic_regression,12,2958.7438114036772,11.15373675,12.281796780000006,0.0,2933.2545713539557,11.169355699999999,12.011185850000002,0.0,1788120448.341929
docker,lr_lr,logistic_regression,logistic_regression,13,2890.2938908657047,11.495511500000001,12.525068440000005,0.0,2866.314832417555,11.5033713,12.379529480000024,0.0,1788120479.7954316
docker,lr_lr,logistic_regression,logistic_regression,14,2930.540667920329,11.314344,12.182837080000034,0.0,2904.7027454146296,11.3172041,12.227756700000024,0.0,1788120511.633361
docker,lr_lr,logistic_regression,logistic_regression,15,2866.5862025521683,11.5461145,12.706356060000006,0.0,2866.969498578954,11.529594150000001,12.91376073000004,0.0,1788120543.4079123
docker,lr_lr,logistic_regression,logistic_regression,16,2930.264180488418,11.241405550000001,12.274516760000001,0.0,2930.586283519307,11.2518821,12.131414540000026,0.0,1788120574.9211745
docker,lr_lr,logistic_regression,logistic_regression,17,2917.265976715154,11.33006615,12.376371770000024,0.0,2892.196167586928,11.33825175,12.143975040000038,0.0,1788120606.1905885
docker,lr_lr,logistic_regression,logistic_regression,18,2897.163548629127,11.42876265,12.556553930000062,0.0,2897.5155270033138,11.4366382,12.303922260000002,0.0,1788120637.7531273
docker,lr_lr,logistic_regression,logistic_regression,19,2930.020991425093,11.2828912,12.34847632000007,0.0,2903.92136714207,11.2912696,11.990524860000052,0.0,1788120669.3995051
docker,lr_lr,logistic_regression,logistic_regression,20,2897.832394904964,11.43777555,14.468488860000111,0.0,2898.1551692271128,11.42385,14.401244010000024,0.0,1788120700.6197844
