backend,model,repetition,throughput_rps,p95_latency_ms,p99_latency_ms,error_rate,timestamp_unix
docker,kmeans,1,6118.957549301201,5.5300653,6.196042740000009,0.0,1788123147.6876311
docker,kmeans,2,6129.317431741515,5.54794335,6.067805010000029,0.0,1788123164.542647
docker,kmeans,3,6094.366285688332,5.57949935,6.320842480000002,0.0,1788123181.3931456
docker,kmeans,4,6068.662704808512,5.6357943,7.743808560000018,0.0,1788123198.288175
docker,kmeans,5,6098.666135819578,5.57466155,6.181750470000031,0.0,1788123214.7435765
docker,kmeans,6,6019.2374758561855,5.6585225,6.15435135000001,0.0,1788123231.0954785
docker,kmeans,7,6043.27940544385,5.6000863,6.218612980000043,0.0,1788123247.6372328
docker,kmeans,8,5987.397234430968,5.7152177,8.108178180000007,0.0,1788123263.964107
docker,kmeans,9,6061.817109473607,6.395267550000002,7.944396520000004,0.0,1788123280.4781501
docker,kmeans,10,6083.922925150975,5.54322375,6.200457330000025,0.0,1788123296.9601316
docker,kmeans,11,6082.431573437971,5.57736315,6.398585390000024,0.0,1788123313.5772793
docker,kmeans,12,6078.469280929888,5.58945935,6.2153872400000285,0.0,1788123330.056386
docker,kmeans,13,6076.935876472176,5.5790384,6.276053860000026,0.0,1788123346.2350655
docker,kmeans,14,6131.773129437225,5.538406950000001,6.1177485600000745,0.0,1788123362.5510375
docker,kmeans,15,6089.39389613393,5.55690535,6.106192710000027,0.0,1788123378.76635
docker,kmeans,16,6099.329922427254,5.5573844,6.27800866000006,0.0,1788123395.0818048
docker,kmeans,17,6093.663490601425,5.5690118,6.156602680000023,0.0,1788123411.3020167
docker,kmeans,18,6112.3084325048485,5.567349800000001,6.122676370000008,0.0,1788123427.6599069
docker,kmeans,19,6078.157088783238,5.5798161,6.240959090000033,0.0,1788123443.9813027
docker,kmeans,20,6119.306184447876,5.5485828,6.170420110000001,0.0,1788123460.3715782
