backend,model,repetition,throughput_rps,p95_latency_ms,p99_latency_ms,error_rate,timestamp_unix
docker,mlp,1,5695.291579585216,5.92586625,6.612819030000033,0.0,1788125016.0594509
docker,mlp,2,5684.642377573774,5.912576700000001,6.542247830000009,0.0,1788125032.5129042
docker,mlp,3,5613.472443978799,6.0222049,6.612690860000007,0.0,1788125048.5806737
docker,mlp,4,5721.9755171805455,5.907031,6.683713120000001,0.0,1788125064.8653796
docker,mlp,5,5748.835663987595,5.8563142,6.5600072100000135,0.0,1788125081.2506511
docker,mlp,6,5757.215282110646,5.8266781000000005,6.537450480000005,0.0,1788125097.63182
docker,mlp,7,5688.780091659245,5.82301365,6.407220420000004,0.0,1788125113.8168151
docker,mlp,8,5560.076137422135,6.069098950000001,6.785911420000043,0.0,1788125130.3852854
docker,mlp,9,5693.52871059579,5.91077725,6.667212310000023,0.0,1788125146.7166064
docker,mlp,10,5753.219763658601,5.846102950000001,6.681303330000021,0.0,1788125162.9787064
docker,mlp,11,5721.503627718024,5.91524375,6.683381570000007,0.0,1788125179.2206092
docker,mlp,12,5703.8151775574,5.91557975,6.537523560000014,0.0,1788125195.7228968
docker,mlp,13,5805.623160543233,5.7739262,6.44954904,0.0,1788125212.109568
docker,mlp,14,5784.322056382245,5.827342,6.524841910000013,0.0,1788125228.3741271
docker,mlp,15,5817.095478626147,5.806892400000001,6.42489901000002,0.0,1788125244.7938988
docker,mlp,16,5688.94487299499,5.92785565,6.6640682100000035,0.0,1788125261.2468717
docker,mlp,17,5751.78748435368,5.83019995,6.460346190000061,0.0,1788125277.4482305
docker,mlp,18,5412.57799700853,6.223762,7.017783950000004,0.0,1788125294.0416806
docker,mlp,19,5631.367217417665,5.97273365,6.803638230000018,0.0,1788125310.0459073
docker,mlp,20,5725.577036579264,5.8645932,6.637801690000001,0.0,1788125325.8588574
