backend,pair,model_a,model_b,repetition,a_throughput_rps,a_p95_latency_ms,a_p99_latency_ms,a_error_rate,b_throughput_rps,b_p95_latency_ms,b_p99_latency_ms,b_error_rate,timestamp_unix
docker,nb_nb,naive_bayes,naive_bayes,1,2755.9811344497634,12.0380719,13.505185050000012,0.0,2756.1515853074684,12.03685265,13.057461330000017,0.0,1788169532.365859
docker,nb_nb,naive_bayes,naive_bayes,2,2764.8553886037457,11.98069115,13.323478620000055,0.0,2740.1288692866483,11.977361,13.343002000000013,0.0,1788169563.6532228
docker,nb_nb,naive_bayes,naive_bayes,3,2712.7744326989646,12.22499425,13.553189180000007,0.0,2689.155436593754,12.256079900000001,13.891329740000016,0.0,1788169595.0835695
docker,nb_nb,naive_bayes,naive_bayes,4,2713.6731649272324,12.249843649999999,16.46400252,0.0,2713.833811813616,12.25339175,16.888758160000013,0.0,1788169626.2460878
docker,nb_nb,naive_bayes,naive_bayes,5,2673.912973956265,12.302327199999999,13.64982357000006,0.0,2674.1246853198104,12.3184745,13.315122620000066,0.0,1788169657.536411
docker,nb_nb,naive_bayes,naive_bayes,6,2744.5453220575837,12.08230865,13.14452560000005,0.0,2744.752334196697,12.078946949999999,13.298390620000003,0.0,1788169688.757748
docker,nb_nb,naive_bayes,naive_bayes,7,2744.439493212123,12.10878735,13.265565870000048,0.0,2720.6952579351423,12.12802785,13.42033860000004,0.0,1788169720.1123514
docker,nb_nb,naive_bayes,naive_bayes,8,2685.13035054601,12.3431576,13.419382250000023,0.0,2659.8931281459445,12.35689175,13.358947510000064,0.0,1788169751.554003
docker,nb_nb,naive_bayes,naive_bayes,9,2670.6443013917105,12.3973944,13.435375180000014,0.0,2645.7508941980454,12.38237225,13.966822930000014,0.0,1788169782.680377
docker,nb_nb,naive_bayes,naive_bayes,10,2705.9686128284766,12.197304,13.908294530000017,0.0,2706.140153226812,12.19858465,13.926431630000017,0.0,1788169814.123544
docker,nb_nb,naive_bayes,naive_bayes,11,2680.9477523460755,12.34709205,14.074625850000006,0.0,2681.1220732157935,12.3423196,13.972717650000018,0.0,1788169845.448563
docker,nb_nb,naive_bayes,naive_bayes,12,2712.817440586635,12.27997715,14.684404310000032,0.0,2713.026679192598,12.2850078,14.800581320000006,0.0,1788169876.6458766
docker,nb_nb,naive_bayes,naive_bayes,13,2709.5695418446676,12.28033895,13.692464400000013,0.0,2685.8224734433693,12.28155855,13.292456490000012,0.0,1788169908.0467906
docker,nb_nb,naive_bayes,naive_bayes,14,2738.8931533613495,12.150066,13.389506680000009,0.0,2714.8460122736774,12.125949299999998,13.365142920000002,0.0,1788169939.4491413
docker,nb_nb,naive_bayes,naive_bayes,15,2733.798792657982,12.1541482,13.538863970000003,0.0,2734.11319457309,12.15550975,13.77604407000002,0.0,1788169970.7284834
docker,nb_nb,naive_bayes,naive_bayes,16,2697.339831776173,12.209257150000001,13.897415270000007,0.0,2697.495384488075,12.24989945,13.605884200000029,0.0,1788170002.020437
docker,nb_nb,naive_bayes,naive_bayes,17,2701.9872723032017,12.26240515,13.616635860000002,0.0,2702.154587211449,12.276606450000001,14.02791878,0.0,1788170033.1984913
docker,nb_nb,naive_bayes,naive_bayes,18,2751.8624135386885,12.05006395,13.373866330000014,0.0,2727.3418407021068,12.08098915,13.676881750000039,0.0,1788170064.3931003
docker,nb_nb,naive_bayes,naive_bayes,19,2764.0350200103962,11.99839925,13.329493510000013,0.0,2738.868047445752,11.96701295,13.651468850000008,0.0,1788170095.5145175
docker,nb_nb,naive_bayes,naive_bayes,20,2694.497897639241,12.353602799999999,13.646708930000118,0.0,2694.6659877313145,12.30792945,13.595746240000015,0.0,1788170126.7500145
