backend,model,repetition,throughput_rps,p95_latency_ms,p99_latency_ms,error_rate,timestamp_unix
docker,logistic_regression,1,6081.067250895769,5.589378150000001,6.277976160000025,0.0,1788119762.534525
docker,logistic_regression,2,6079.756932802026,5.6037247500000005,6.36804794000001,0.0,1788119779.441402
docker,logistic_regression,3,6178.931696922698,5.4909305999999996,6.118532790000002,0.0,1788119796.1941416
docker,logistic_regression,4,5976.6159229343875,5.70861685,8.307087060000002,0.0,1788119812.8205934
docker,logistic_regression,5,6158.61434457125,5.52131425,6.083996470000013,0.0,1788119829.396284
docker,logistic_regression,6,6087.684078028894,5.5722504,6.078530620000087,0.0,1788119845.846434
docker,logistic_regression,7,6150.733664811568,5.529012750000001,8.116327800000002,0.0,1788119862.202527
docker,logistic_regression,8,6140.80760414867,5.51658495,6.221857730000038,0.0,1788119878.4824734
docker,logistic_regression,9,6066.276681606057,5.611232500000001,6.334165520000047,0.0,1788119894.8560348
docker,logistic_regression,10,6189.014098098155,5.47472675,6.035435180000058,0.0,1788119911.056969
docker,logistic_regression,11,6080.284512481482,5.5864274,6.073660270000065,0.0,1788119927.48122
docker,logistic_regression,12,6114.658949776006,5.5572054500000005,6.380146010000016,0.0,1788119943.8381836
docker,logistic_regression,13,6126.577478687523,5.5571254,6.056188730000017,0.0,1788119959.9590862
docker,logistic_regression,14,6082.866180854806,5.57347495,6.164040590000033,0.0,1788119976.263127
docker,logistic_regression,15,6165.359942721495,5.4910225,6.149308830000009,0.0,1788119992.5082126
docker,logistic_regression,16,6085.668989029668,5.5399078500000005,6.255081680000058,0.0,1788120008.788568
docker,logistic_regression,17,6188.994299489659,5.4267259,6.1300722500000155,0.0,1788120025.0549252
docker,logistic_regression,18,6091.79451038485,5.5609144,6.393008470000017,0.0,1788120041.3726504
docker,logistic_regression,19,6134.760455494295,5.53152615,6.120757470000023,0.0,1788120057.6925561
docker,logistic_regression,20,6110.392934428769,5.5627514,6.148254110000015,0.0,1788120074.0939925
