backend,pair,model_a,model_b,repetition,a_throughput_rps,a_p95_latency_ms,a_p99_latency_ms,a_error_rate,b_throughput_rps,b_p95_latency_ms,b_p99_latency_ms,b_error_rate,timestamp_unix
docker,kmeans_rf,kmeans,random_forest,1,2789.5254855719368,11.88266155,13.288877560000005,0.0,2789.8700162757023,11.884623,13.012937710000024,0.0,1788123817.1613753
docker,kmeans_rf,kmeans,random_forest,2,2770.3494038643357,11.932081299999998,13.217037730000005,0.0,2770.5199081576093,11.9273247,12.87148484,0.0,1788123848.4578614
docker,kmeans_rf,kmeans,random_forest,3,2807.8812348160573,11.8891001,13.28884072,0.0,2782.28724395097,11.9046082,12.844318000000003,0.0,1788123880.0549977
docker,kmeans_rf,kmeans,random_forest,4,2811.40075798916,11.855923,13.460339490000017,0.0,2811.727636186506,11.853881,13.444999530000006,0.0,1788123911.650966
docker,kmeans_rf,kmeans,random_forest,5,2753.942968600791,12.092502900000001,13.082856240000009,0.0,2754.1232586956453,12.065002150000002,13.463922370000008,0.0,1788123943.144502
docker,kmeans_rf,kmeans,random_forest,6,2768.701240164942,11.99806685,13.23095513000004,0.0,2741.765454775182,12.02519205,13.216350650000065,0.0,1788123974.5993075
docker,kmeans_rf,kmeans,random_forest,7,2812.36711505122,11.802454,13.47982956,0.0,2787.0011768850004,11.822562699999999,12.99513015,0.0,1788124006.0126963
docker,kmeans_rf,kmeans,random_forest,8,2734.0976408898673,12.082498600000001,13.18425779,0.0,2734.4086569592014,12.08595935,13.21903254000001,0.0,1788124037.4231367
docker,kmeans_rf,kmeans,random_forest,9,2788.6275639528203,11.8820759,14.486969280000007,0.0,2763.0377568185017,11.90025665,14.678668160000058,0.0,1788124068.8707743
docker,kmeans_rf,kmeans,random_forest,10,2810.123787195055,11.79115505,13.331846050000019,0.0,2785.2527790160375,11.8281841,13.439632920000003,0.0,1788124100.4238083
docker,kmeans_rf,kmeans,random_forest,11,2808.857458256166,11.830068200000001,12.923708120000024,0.0,2809.0659597979634,11.842078050000001,13.260610110000018,0.0,1788124131.8642488
docker,kmeans_rf,kmeans,random_forest,12,2795.948919739966,11.919408500000001,13.106360010000088,0.0,2767.354639112071,11.95442705,13.462713680000007,0.0,1788124163.3083673
docker,kmeans_rf,kmeans,random_forest,13,2784.629615455321,11.94161665,13.092006010000022,0.0,2757.5039163075053,11.96178585,12.975818040000044,0.0,1788124193.5760865
docker,kmeans_rf,kmeans,random_forest,14,2814.01891734173,11.801163650000001,13.625943590000011,0.0,2786.2358996067805,11.8046176,13.734727420000013,0.0,1788124224.9077365
docker,kmeans_rf,kmeans,random_forest,15,2845.642641079048,11.67094445,12.962089260000043,0.0,2819.887718740159,11.674451999999999,13.156734980000037,0.0,1788124256.3350236
docker,kmeans_rf,kmeans,random_forest,16,2784.640212509944,11.90581465,13.696388970000001,0.0,2759.459889813803,11.887943750000002,13.370068520000018,0.0,1788124287.489843
docker,kmeans_rf,kmeans,random_forest,17,2776.6690924530776,11.95565065,13.327064320000042,0.0,2751.886446426844,11.96665055,13.276901870000001,0.0,1788124318.1216002
docker,kmeans_rf,kmeans,random_forest,18,2796.276443216554,11.9037686,13.419188510000003,0.0,2796.5847121825504,11.8980337,13.214347880000018,0.0,1788124349.1585307
docker,kmeans_rf,kmeans,random_forest,19,2795.708867307487,11.872469650000001,13.721920550000002,0.0,2770.3864761546743,11.869437300000001,13.222726000000081,0.0,1788124380.3079374
docker,kmeans_rf,kmeans,random_forest,20,2754.3357667176674,12.05008305,13.498930440000017,0.0,2730.288498907171,12.033966249999999,13.32785522000009,0.0,1788124411.4074123
