backend,model,repetition,throughput_rps,p95_latency_ms,p99_latency_ms,error_rate,timestamp_unix
wasmtime,mlp,1,9349.690607870347,5.050266650000001,5.13800423,0.0,1788124532.3969865
wasmtime,mlp,2,9305.33988692389,5.065699,5.18734214,0.0,1788124534.2899911
wasmtime,mlp,3,9344.195715410626,5.055684,5.175147460000001,0.0,1788124536.1832747
wasmtime,mlp,4,9264.201178177576,5.116980750000001,5.174788950000001,0.0,1788124538.0787048
wasmtime,mlp,5,8228.407236689714,5.18355305,6.35747982,0.0,1788124540.1367335
wasmtime,mlp,6,7890.263987419236,5.14674915,6.30263534,0.0,1788124542.22107
wasmtime,mlp,7,9345.5262671674,5.0843301,5.158529219999999,0.0,1788124544.1110494
wasmtime,mlp,8,9343.3377401389,5.065436050000001,5.1788596700000005,0.0,1788124546.0025492
wasmtime,mlp,9,9340.662651984057,5.0589733,5.16675709,0.0,1788124547.8897278
wasmtime,mlp,10,9391.295291804805,5.0120307,5.08303967,0.0,1788124549.7779453
wasmtime,mlp,11,9220.314394291254,5.11520575,5.2150904,0.0,1788124551.6736174
wasmtime,mlp,12,9355.173154482402,5.0629612,5.17343562,0.0,1788124553.5612836
wasmtime,mlp,13,9179.82883610942,3.98347755,5.161609980000002,0.0,1788124555.4794788
wasmtime,mlp,14,8256.660660424153,5.12002445,6.27625907,0.0,1788124557.535501
wasmtime,mlp,15,9300.740129561045,5.089591850000001,5.1761851000000005,0.0,1788124559.4254682
wasmtime,mlp,16,9325.541270044432,5.059990300000001,5.17477758,0.0,1788124561.3169005
wasmtime,mlp,17,9325.770308065834,5.095194750000003,5.22253636,0.0,1788124563.20704
wasmtime,mlp,18,9275.425849489164,5.096958300000001,5.16530193,0.0,1788124565.1037984
wasmtime,mlp,19,9305.960086108698,5.0616435,5.16024928,0.0,1788124566.9952896
wasmtime,mlp,20,9379.557027512015,5.0612127000000005,5.12844202,0.0,1788124568.8809285
