model,label,wasmtime_e2e_us,docker_e2e_us,docker_over_wasmtime_e2e,wasmtime_e2e_reduction_pct,wasmtime_inference_us,docker_inference_us,wasmtime_execution_us,docker_execution_us,wasmtime_over_docker_execution,wasmtime_non_execution_e2e_us,docker_non_execution_e2e_us,wasmtime_execution_share_pct,docker_execution_share_pct,wasmtime_throughput_rps,docker_throughput_rps,wasmtime_repetitions,docker_repetitions,wasmtime_e2e_ci_pct,docker_e2e_ci_pct,wasmtime_execution_ci_pct,docker_execution_ci_pct,wasmtime_ci_pass,docker_ci_pass
logistic_regression,Logistic Regression,140.62752525000002,177.76820285581397,1.2641067425440877,20.892756414901932,0.75596644,0.3614391023255814,0.35271605,0.18469426046511628,1.9097293500715928,140.2748092,177.58350859534883,0.250815798239328,0.10389611724596214,6826.658507610312,5459.491772587889,20,43,0.3399075053200472,2.4850869805819236,0.46949650089047007,0.904029340032825,True,True
kmeans,K-Means,140.8643914,175.75623019,1.2476980764494328,19.85240509100613,0.64141607,0.29107645000000004,0.22598793,0.11023023000000001,2.050144774260201,140.63840347,175.64599995999998,0.16042942276184072,0.06271767998257383,6815.370991062539,5499.510781225742,20,20,0.3312459156653461,0.4238370070016613,0.7053827124280208,0.5575471009156414,True,True
decision_tree,Decision Tree,151.85810113,186.74696551,1.2297464812241592,18.68242639698034,0.97452451,0.34335475000000004,0.47189780000000003,0.16223036,2.9088131222787155,151.38620333,186.58473515,0.3107491773494692,0.08687175160086487,6335.804630048431,5185.290077629161,20,20,0.7203570312552845,1.072754004140529,0.619542679670613,0.4913694834793311,True,True
random_forest,Random Forest,152.91492835,188.30150197,1.2314134663098772,18.792507361751028,3.9182503200000003,1.91266766,3.43785419,1.7318844999999998,1.985036640722866,149.47707416,186.56961747,2.248213583261964,0.9197401411465757,6294.511346356678,5141.629110615029,20,20,0.7838446325353626,0.5381508626353035,1.530823619581755,0.2602502565521463,True,True
naive_bayes,Naive Bayes,153.21589361,187.03298745,1.2207153125124146,18.080817881947386,2.2319820800000003,1.2751046899999998,1.7061590100000001,1.09442664,1.558952375282093,151.5097346,185.93856080999998,1.1135652899972015,0.5851516649128944,6286.702145286523,5176.438135262643,20,20,1.7895240659119764,0.32423013569826487,1.3498200581229602,0.2504971131808779,True,True
mlp,MLP,153.42431894999999,189.85604589000002,1.2374573156936932,19.189131833656784,4.743245979999999,4.03035362,4.25078697,3.85044678,1.1039723992757018,149.17353198,186.00559911000002,2.7706083358175473,2.02808752386579,6273.032702951445,5100.35763286427,20,20,0.529208084009942,0.40444946085363725,1.7319298594631458,0.2098112798479427,True,True
svm,SVM,158.45704362,202.67119606,1.2790292651554898,21.81570607937329,14.04363758,11.2912687,13.63661392,11.10755802,1.2276878406078313,144.8204297,191.56363804,8.605874253657237,5.480580485009647,6081.192214698145,4792.787836866071,20,20,0.9702029666831039,1.8145883722708176,0.9026567410396711,0.1439917726523538,True,True
