model,policy,concurrency,repetitions,p95_latency_ms,p99_latency_ms,throughput_rps,ci_target_met,selected_backend
logistic_regression,comet,24,54,3.5207813175925926,3.89059271962963,9263.273696575527,True,
logistic_regression,comet,48,60,6.591792443333338,7.834073964000006,9086.233295394286,False,
logistic_regression,comet,96,39,9.942869003846154,34.83790789666667,9555.396884525117,True,
logistic_regression,comet,192,60,20.983061654166665,57.63261376883334,9068.403774359069,False,
logistic_regression,wasmtime_only,24,60,3.5422483191666667,3.9179326588333336,9213.62256653908,True,wasmtime
logistic_regression,wasmtime_only,48,35,6.09060949285715,7.266778841714293,9655.4626513609,True,wasmtime
logistic_regression,wasmtime_only,96,45,9.898504992222222,34.66411736155556,9579.386417649972,True,wasmtime
logistic_regression,wasmtime_only,192,20,20.28056777,58.32585561900001,9265.070310922712,True,wasmtime
logistic_regression,docker_only,24,20,4.2491042425000005,4.670358049500003,6062.266767591189,True,docker
logistic_regression,docker_only,48,20,8.467924870000001,21.45500014900021,5812.188148971808,True,docker
logistic_regression,docker_only,96,20,17.243748345,41.128062870500024,5651.878965145854,True,docker
logistic_regression,docker_only,192,20,36.68958317,78.83345364800006,5397.3219458374315,True,docker
logistic_regression,random,24,42,4.044671478571429,4.590310779047622,6337.733523364556,True,docker
logistic_regression,random,48,60,8.165857735833333,15.586426312166775,6140.0207836921745,False,docker
logistic_regression,random,96,20,17.144133257500002,39.41288669850001,5694.373094482081,True,docker
logistic_regression,random,192,20,36.611126145,78.48515935050003,5442.03060697733,True,docker
logistic_regression,best_static,24,60,3.558051535,3.8374603400000002,9089.80658204993,False,wasmtime
logistic_regression,best_static,48,20,6.019587925000008,7.162531729500004,9794.603670701323,True,wasmtime
logistic_regression,best_static,96,60,10.049990705,35.18185976633334,9497.51068483789,False,wasmtime
logistic_regression,best_static,192,41,20.61885124390244,56.61224269317074,9205.581230368782,True,wasmtime
naive_bayes,comet,24,29,3.815749336206897,3.9496113465517246,9175.592697434922,True,wasmtime
naive_bayes,comet,48,42,5.368693992857143,7.813877173095242,9215.771503962622,True,wasmtime
naive_bayes,comet,96,60,10.761398010833334,34.868287158333345,8904.251127325655,False,wasmtime
naive_bayes,comet,192,20,21.8439467075,58.33414903150001,8658.409107583786,True,wasmtime
naive_bayes,wasmtime_only,24,20,3.81483886,3.9114790485000004,9264.13004446882,True,wasmtime
naive_bayes,wasmtime_only,48,60,5.469813374166667,7.838324865833337,9153.62432561726,False,wasmtime
naive_bayes,wasmtime_only,96,20,10.455403935,34.69173408150001,9046.449039688194,True,wasmtime
naive_bayes,wasmtime_only,192,20,21.956904015,58.53924735750002,8658.080814327846,True,wasmtime
naive_bayes,docker_only,24,20,4.50152359,4.822747572500003,5662.413397742556,True,docker
naive_bayes,docker_only,48,20,9.032933355,22.26677059550034,5429.591636867861,True,docker
naive_bayes,docker_only,96,20,18.345873285,37.69489676700002,5342.905811124977,True,docker
naive_bayes,docker_only,192,20,39.03318442,82.30361964100005,5064.825046684498,True,docker
naive_bayes,random,24,20,4.34622492,4.842875155000003,5785.918403766058,True,docker
naive_bayes,random,48,60,8.67857895,16.22192771016682,5827.673618634169,False,docker
naive_bayes,random,96,20,18.266003802500002,40.37199261500001,5368.2442283467835,True,docker
naive_bayes,random,192,20,38.6971614025,80.13799448300003,5124.463353604915,True,docker
naive_bayes,best_static,24,60,3.836720624166667,4.132692021666667,8793.766512199687,False,wasmtime
naive_bayes,best_static,48,60,5.5971094,7.9455064803333375,9005.598720015882,False,wasmtime
naive_bayes,best_static,96,42,10.594456382142857,34.83663063238096,8987.384457275282,True,wasmtime
naive_bayes,best_static,192,20,21.7955141325,59.08579474750001,8665.319575650916,True,wasmtime
decision_tree,comet,24,21,3.8127701595238097,4.001556611904762,9135.113821158066,True,wasmtime
decision_tree,comet,48,56,5.409166052678572,7.816962011785718,9175.30803901829,True,wasmtime
decision_tree,comet,96,60,10.739560819166668,34.775153736333344,8917.993827757567,False,wasmtime
decision_tree,comet,192,20,21.9376247725,60.00070377250001,8633.134828445844,True,wasmtime
decision_tree,wasmtime_only,24,29,3.772566001724138,3.9210319986206903,9269.463770892819,True,wasmtime
decision_tree,wasmtime_only,48,60,5.44077407,7.861373529166671,9177.420275681683,False,wasmtime
decision_tree,wasmtime_only,96,20,10.451653035,35.044912095000015,9043.043839851238,True,wasmtime
decision_tree,wasmtime_only,192,20,21.8951719825,58.233162897500016,8639.457199528055,True,wasmtime
decision_tree,docker_only,24,20,4.494279205,4.954443844000003,5670.039127364859,True,docker
decision_tree,docker_only,48,20,9.0447429175,22.594921826500343,5426.14825146539,True,docker
decision_tree,docker_only,96,20,18.415670175000002,41.55040783250003,5301.41616381723,True,docker
decision_tree,docker_only,192,20,38.8606165125,84.30727594100006,5066.806783984557,True,docker
decision_tree,random,24,60,4.3303913566666665,4.963243230500006,5922.410079552617,False,docker
