model,concurrency,baseline,comet_p95_ms,baseline_p95_ms,latency_improvement_pct,latency_ratio,comet_throughput_rps,baseline_throughput_rps,throughput_improvement_pct,throughput_ratio,comet_ci_target_met,baseline_ci_target_met,comet_backend,baseline_backend
logistic_regression,24,wasmtime_only,3.5207813175925926,3.5422483191666667,0.6060275745751313,0.9939397242542487,9263.273696575527,9213.62256653908,0.5388882567945018,1.0053888825679451,True,True,,wasmtime
logistic_regression,24,docker_only,3.5207813175925926,4.2491042425000005,17.140622666364436,0.8285937733363556,9263.273696575527,6062.266767591189,52.80214566104028,1.528021456610403,True,True,,docker
logistic_regression,24,random,3.5207813175925926,4.044671478571429,12.952601064249434,0.8704739893575056,9263.273696575527,6337.733523364556,46.1606686747831,1.461606686747831,True,True,,docker
logistic_regression,24,best_static,3.5207813175925926,3.558051535,1.0474895329869793,0.9895251046701302,9263.273696575527,9089.80658204993,1.908369699176546,1.0190836969917654,True,False,,wasmtime
logistic_regression,48,wasmtime_only,6.591792443333338,6.09060949285715,-8.228781554029315,1.082287815540293,9086.233295394286,9655.4626513609,-5.895412540240973,0.9410458745975903,False,True,,wasmtime
logistic_regression,48,docker_only,6.591792443333338,8.467924870000001,22.155751916427462,0.7784424808357253,9086.233295394286,5812.188148971808,56.330680674913545,1.5633068067491356,False,True,,docker
logistic_regression,48,random,6.591792443333338,8.165857735833333,19.276178246318175,0.8072382175368182,9086.233295394286,6140.0207836921745,47.98375470531335,1.4798375470531335,False,False,,docker
logistic_regression,48,best_static,6.591792443333338,6.019587925000008,-9.505709119338587,1.095057091193386,9086.233295394286,9794.603670701323,-7.232251545062418,0.9276774845493758,False,True,,wasmtime
logistic_regression,96,wasmtime_only,9.942869003846154,9.898504992222222,-0.44818901095459396,1.004481890109546,9555.396884525117,9579.386417649972,-0.2504287026218587,0.9974957129737814,True,True,,wasmtime
logistic_regression,96,docker_only,9.942869003846154,17.243748345,42.339282591483716,0.5766071740851628,9555.396884525117,5651.878965145854,69.06584418122846,1.6906584418122845,True,True,,docker
logistic_regression,96,random,9.942869003846154,17.144133257500002,42.00424801588339,0.5799575198411662,9555.396884525117,5694.373094482081,67.80419417520106,1.6780419417520107,True,True,,docker
logistic_regression,96,best_static,9.942869003846154,10.049990705,1.065888559484466,0.9893411144051554,9555.396884525117,9497.51068483789,0.6094881238684856,1.006094881238685,True,False,,wasmtime
logistic_regression,192,wasmtime_only,20.983061654166665,20.28056777,-3.463876811209531,1.0346387681120952,9068.403774359069,9265.070310922712,-2.1226664230684884,0.9787733357693151,False,True,,wasmtime
logistic_regression,192,docker_only,20.983061654166665,36.68958317,42.809212203522925,0.5719078779647707,9068.403774359069,5397.3219458374315,68.01672876588138,1.6801672876588138,False,True,,docker
logistic_regression,192,random,20.983061654166665,36.611126145,42.68665331117564,0.5731334668882435,9068.403774359069,5442.03060697733,66.63639786833059,1.6663639786833058,False,True,,docker
logistic_regression,192,best_static,20.983061654166665,20.61885124390244,-1.7663952562436345,1.0176639525624362,9068.403774359069,9205.581230368782,-1.4901552935861435,0.9850984470641385,False,True,,wasmtime
naive_bayes,24,wasmtime_only,3.815749336206897,3.81483886,-0.023866701591080335,1.000238667015911,9175.592697434922,9264.13004446882,-0.9557006066291103,0.9904429939337089,True,True,wasmtime,wasmtime
naive_bayes,24,docker_only,3.815749336206897,4.50152359,15.234269910670465,0.8476573008932954,9175.592697434922,5662.413397742556,62.04385043827727,1.6204385043827727,True,True,wasmtime,docker
naive_bayes,24,random,3.815749336206897,4.34622492,12.205433302635042,0.8779456669736496,9175.592697434922,5785.918403766058,58.584896245037314,1.585848962450373,True,True,wasmtime,docker
naive_bayes,24,best_static,3.815749336206897,3.836720624166667,0.5465940842206892,0.9945340591577931,9175.592697434922,8793.766512199687,4.342009589469128,1.0434200958946913,True,False,wasmtime,wasmtime
naive_bayes,48,wasmtime_only,5.368693992857143,5.469813374166667,1.8486806476268454,0.9815131935237316,9215.771503962622,9153.62432561726,0.6789352078983303,1.0067893520789832,True,False,wasmtime,wasmtime
naive_bayes,48,docker_only,5.368693992857143,9.032933355,40.56533152782082,0.5943466847217919,9215.771503962622,5429.591636867861,69.73231359400859,1.697323135940086,True,True,wasmtime,docker
naive_bayes,48,random,5.368693992857143,8.67857895,38.1385590453476,0.618614409546524,9215.771503962622,5827.673618634169,58.13808574479711,1.581380857447971,True,False,wasmtime,docker
naive_bayes,48,best_static,5.368693992857143,5.5971094,4.080953056641294,0.9591904694335871,9215.771503962622,9005.598720015882,2.3338013438196996,1.023338013438197,True,False,wasmtime,wasmtime
naive_bayes,96,wasmtime_only,10.761398010833334,10.455403935,-2.9266595316227195,1.0292665953162272,8904.251127325655,9046.449039688194,-1.5718644049028982,0.984281355950971,False,True,wasmtime,wasmtime
naive_bayes,96,docker_only,10.761398010833334,18.345873285,41.34158759489473,0.5865841240510528,8904.251127325655,5342.905811124977,66.65558858973817,1.6665558858973817,False,True,wasmtime,docker
naive_bayes,96,random,10.761398010833334,18.266003802500002,41.08509925219407,0.5891490074780593,8904.251127325655,5368.2442283467835,65.86896475959753,1.6586896475959754,False,True,wasmtime,docker
naive_bayes,96,best_static,10.761398010833334,10.594456382142857,-1.5757451129994746,1.0157574511299947,8904.251127325655,8987.384457275282,-0.925000263923626,0.9907499973607637,False,True,wasmtime,wasmtime
naive_bayes,192,wasmtime_only,21.8439467075,21.956904015,0.5144500673812338,0.9948554993261877,8658.409107583786,8658.080814327846,0.0037917555054036165,1.000037917555054,True,True,wasmtime,wasmtime
naive_bayes,192,docker_only,21.8439467075,39.03318442,44.03749775458366,0.5596250224541633,8658.409107583786,5064.825046684498,70.95179059051003,1.7095179059051004,True,True,wasmtime,docker
naive_bayes,192,random,21.8439467075,38.6971614025,43.55155283795884,0.5644844716204116,8658.409107583786,5124.463353604915,68.96226024316945,1.6896226024316947,True,True,wasmtime,docker
naive_bayes,192,best_static,21.8439467075,21.7955141325,-0.2222135009321953,1.002222135009322,8658.409107583786,8665.319575650916,-0.07974856561029654,0.9992025143438971,True,True,wasmtime,wasmtime
decision_tree,24,wasmtime_only,3.8127701595238097,3.772566001724138,-1.065697930302547,1.0106569793030256,9135.113821158066,9269.463770892819,-1.4493821115804697,0.9855061788841953,True,True,wasmtime,wasmtime
decision_tree,24,docker_only,3.8127701595238097,4.494279205,15.163923165209539,0.8483607683479046,9135.113821158066,5670.039127364859,61.11200674206976,1.6111200674206976,True,True,wasmtime,docker
