model,policy,concurrency,repetitions,ci_target_met,stop_reason,admission_rate_mean,correctness_rate_mean,successful_requests_total,request_errors_total,mean_latency_ms,p50_latency_ms,p95_latency_ms,p95_ci95_half_width_ms,p95_relative_ci,p99_latency_ms,throughput_rps,throughput_ci95_half_width_rps,throughput_relative_ci,mean_scheduler_decision_ns,selected_backend_mode,selected_backend_wasmtime_reps,selected_backend_docker_reps,backend_audit_status,raw_file
logistic_regression,comet,24,54,True,precision_target_met,1.0,1.0,270000,0,2.5941669511,2.408869240740741,3.5207813175925926,0.06329244003307673,0.01797681659943431,3.89059271962963,9263.273696575527,222.8303147963414,0.024055244624664168,653.9977148148148,,0,0,legacy_schema_missing,results/raw/evaluation/live_heldout/logistic_regression__comet__c24.csv
logistic_regression,comet,48,60,False,max_repetitions,1.0,1.0,300000,0,5.275635867646667,4.8746195666666665,6.591792443333338,0.17621027158767982,0.026731768802261288,7.834073964000006,9086.233295394286,230.18155612149766,0.025333000885875805,658.2330566666667,,0,0,legacy_schema_missing,results/raw/evaluation/live_heldout/logistic_regression__comet__c48.csv
logistic_regression,comet,96,39,True,precision_target_met,1.0,1.0,195000,0,9.752649066476923,9.462137384615385,9.942869003846154,0.2343556263404001,0.02357022165833075,34.83790789666667,9555.396884525117,104.18596781541555,0.010903363729887958,581.9355333333333,,0,0,legacy_schema_missing,results/raw/evaluation/live_heldout/logistic_regression__comet__c96.csv
logistic_regression,comet,192,60,False,max_repetitions,1.0,1.0,300000,0,20.186197819316668,19.37334955,20.983061654166665,0.5937857108461043,0.028298335134910813,57.63261376883334,9068.403774359069,171.99411335872628,0.01896630516663142,605.39321,,0,0,legacy_schema_missing,results/raw/evaluation/live_heldout/logistic_regression__comet__c192.csv
logistic_regression,wasmtime_only,24,60,True,precision_target_met,1.0,1.0,300000,0,2.61131906317,2.4427710833333336,3.5422483191666667,0.045370245855682986,0.012808318832474339,3.9179326588333336,9213.62256653908,223.25190671915152,0.02423063296839734,200.45405333333332,wasmtime,60,0,recorded,results/raw/evaluation/live_heldout/logistic_regression__wasmtime_only__c24.csv
logistic_regression,wasmtime_only,48,35,True,precision_target_met,1.0,1.0,175000,0,4.943161075188572,4.839096285714286,6.09060949285715,0.14524437860186132,0.02384726500232838,7.266778841714293,9655.4626513609,231.88234641297768,0.02401566395995481,187.53397142857142,wasmtime,35,0,recorded,results/raw/evaluation/live_heldout/logistic_regression__wasmtime_only__c48.csv
logistic_regression,wasmtime_only,96,45,True,precision_target_met,1.0,1.0,225000,0,9.756015853928888,9.410647955555556,9.898504992222222,0.23845740427527057,0.024090244381615118,34.66411736155556,9579.386417649972,148.1089328016911,0.015461212894471105,181.73476888888888,wasmtime,45,0,recorded,results/raw/evaluation/live_heldout/logistic_regression__wasmtime_only__c96.csv
logistic_regression,wasmtime_only,192,20,True,precision_target_met,1.0,1.0,100000,0,19.54880847362,18.69995,20.28056777,0.1266332748601716,0.006244069510099893,58.32585561900001,9265.070310922712,48.06232263108207,0.005187475218015428,185.13045,wasmtime,20,0,recorded,results/raw/evaluation/live_heldout/logistic_regression__wasmtime_only__c192.csv
logistic_regression,docker_only,24,20,True,precision_target_met,1.0,1.0,100000,0,3.93758501181,3.931721825,4.2491042425000005,0.023425078375710503,0.00551294509120542,4.670358049500003,6062.266767591189,31.973830476878554,0.0052742367999722975,291.1955,docker,0,20,recorded,results/raw/evaluation/live_heldout/logistic_regression__docker_only__c24.csv
logistic_regression,docker_only,48,20,True,precision_target_met,1.0,1.0,100000,0,8.178524714489999,7.918880025,8.467924870000001,0.03676358501499365,0.004341510532909776,21.45500014900021,5812.188148971808,25.723951832666007,0.004425863577251305,291.02002,docker,0,20,recorded,results/raw/evaluation/live_heldout/logistic_regression__docker_only__c48.csv
