physical_tenants,pss_mean_mib_wasmtime,pss_sd_mib_wasmtime,rss_mean_mib_wasmtime,pss_mean_mib_docker,pss_sd_mib_docker,rss_mean_mib_docker,docker_to_wasmtime_pss_ratio,pss_difference_mib,wasmtime_pss_per_physical_tenant_mib,docker_pss_per_physical_tenant_mib
1,17.5366796875,0.0650699063500351,19.665625,3.1399609375,0.03298891147081535,5.5984375,0.17905105147915418,-14.396718750000002,17.5366796875,3.1399609375
5,17.59765625,0.03905029106080509,19.73984375,13.320390624999998,0.02252733054176376,28.1484375,0.7569411764705881,-4.277265625000002,3.51953125,2.6640781249999996
10,17.6794921875,0.05082067279849208,19.80625,25.1926953125,0.018917404541323086,56.284375,1.4249671339718732,7.513203125,1.7679492187499999,2.51926953125
20,17.8017578125,0.05408252146875152,19.9375,48.335,0.047310880323374646,112.7203125,2.7151813045147843,30.5332421875,0.890087890625,2.41675
