model,label,wasmtime_pss_20_mib,docker_pss_20_mib,wasmtime_pss_100_mib,docker_pss_100_mib,wasmtime_pss_200_mib,docker_pss_200_mib,docker_over_wasmtime_20,docker_over_wasmtime_100,docker_over_wasmtime_200,wasmtime_memory_reduction_200_pct,wasmtime_pss_per_tenant_200_mib,docker_pss_per_tenant_200_mib,wasmtime_growth_slope_mib_per_tenant,docker_growth_slope_mib_per_tenant,wasmtime_fitted_intercept_mib,docker_fitted_intercept_mib,slope_ratio_docker_over_wasmtime,wasmtime_ci20_pct,docker_ci20_pct,wasmtime_ci100_pct,docker_ci100_pct,wasmtime_ci200_pct,docker_ci200_pct,wasmtime_n20,docker_n20,wasmtime_n100,docker_n100,wasmtime_n200,docker_n200
kmeans,K-Means,17.5116015625,49.43943359375,18.3807617188,235.68550781255,19.46453125005,467.91478515615,2.823238834968782,12.822401564103236,24.039355438109922,95.84015468894525,0.09732265625025001,2.33957392578075,0.0108491210940164,2.324757724448688,17.29505859375492,3.039084912956648,214.2807425876054,0.19567834963494635,0.06949809914994962,0.17072611368181026,0.04206966628044817,0.1424587921778059,0.038445733208637464,20,20,20,20,20,20
naive_bayes,Naive Bayes,17.76476562485,49.50364257825,18.63437499995,236.24727539065,19.73958007815,469.47108398414997,2.786619515486459,12.678035908973813,23.783235617246675,95.79535763723065,0.09869790039074999,2.34735541992075,0.010974505316024582,2.333114978225491,17.542293000607376,2.875069640297682,212.59409067110838,0.13285607823609943,0.07051627768149746,0.12122602780944036,0.05164609814055942,0.12824764940501548,0.030709634772956348,20,20,20,20,20,20
logistic_regression,Logistic Regression,17.9992871094,49.3989160157,18.85927734375,235.97124023455,20.0078906249,468.40520507815,2.744492918827978,12.512210088089684,23.411023873511958,95.72850805072463,0.1000394531245,2.34202602539075,0.011172319255184386,2.327670378137479,17.763770972130335,2.973613441469088,208.3426301174978,0.14120981445568428,0.061201373721809116,0.143555438174422,0.02492697950286646,0.11210865071503656,0.026137143938858062,20,20,20,20,20,20
svm,SVM,18.376123047,49.52264648435,19.2697460938,236.4492285158,20.35249023445,468.9291308594,2.6949453025367522,12.270490091816885,23.04038107659469,95.65979400828645,0.10176245117225,2.344645654297,0.010973572777663941,2.3298213931226432,18.162272028799173,3.119386686768193,212.31201909599187,0.1374183181401254,0.0647848717529428,0.10953203272215982,0.031764763091372966,0.1562868451886291,0.061771376813437966,20,20,20,20,20,20
mlp,MLP,18.64169921875,49.53568359385,19.87099609365,236.4156640624,21.36231445315,469.2202441405,2.657251520506593,11.897524560328876,21.964859901746774,95.44727348832089,0.10681157226575,2.3461012207025,0.015106277215860655,2.331436011141209,18.347000352158194,3.0373560771878676,154.33557704696068,0.11131133234839345,0.07172329446412658,0.16224861849657787,0.0457271946469035,0.12565762027832383,0.07521745157395805,20,20,20,20,20,20
decision_tree,Decision Tree,33.58730468755,49.47999023445,34.1003808592,236.45789062495,35.61951171865,469.5296191407,1.4731753766711453,6.93417154492442,13.181809533196358,92.41378812611687,0.17809755859325002,2.3476480957034997,0.011449927157274477,2.3334905345479506,33.21440685835739,2.916842981585402,203.79959649484888,1.0432507127970778,0.07526056847989725,0.9986401990815708,0.04220136918490928,0.9216498691964012,0.020370530125837776,20,20,20,20,20,20
random_forest,Random Forest,34.047900390900004,49.4206445312,34.4755761719,235.7152734374,35.878203125,468.86633789065,1.451503439677845,6.837167050148516,13.068278148075455,92.34788249324744,0.17939101562499998,2.34433168945325,0.010326460039508135,2.3303053598877455,33.69907082505246,2.768180231723944,225.6635237024305,1.0924585078279596,0.05877083864711621,0.7905984615747781,0.018076109081921785,0.6859354305246438,0.06680937947858975,20,20,20,20,20,20
