model,label,wasmtime_startup_ms,docker_startup_ms,startup_ratio_docker_over_wasm,wasmtime_startup_reduction_pct,wasmtime_cold_to_first_result_ms,docker_cold_to_first_result_ms,cold_result_ratio_docker_over_wasm,wasmtime_first_inference_ms,docker_first_inference_ms,wasmtime_warm_inference_ms,docker_warm_inference_ms,wasmtime_repetitions,docker_repetitions,wasmtime_startup_ci_pct,docker_startup_ci_pct,wasmtime_cold_ci_pct,docker_cold_ci_pct,wasmtime_primary_ci_pass,docker_primary_ci_pass
kmeans,K-Means,42.28686568333333,537.0251693076923,12.699573747773695,92.12571996618938,43.49359425,542.5557673461539,12.474383336257702,1.0574664333333332,5.220674153846153,0.4002296975,0.7894220096153846,60,26,2.460885106996831,2.371937016401038,2.4523900771498606,2.4641450801394895,True,True
naive_bayes,Naive Bayes,43.438686672413795,532.61803535,12.26137519687594,91.84430796755336,44.64807044827586,538.89481295,12.069834318468516,1.0348844137931035,5.9245189499999995,0.4102085,0.8220329325,58,20,2.4795107846161573,2.386755899004326,2.476715653626647,2.1235107636834947,True,True
logistic_regression,Logistic Regression,43.906472479166666,532.4884705,12.127789832186183,91.75447452638006,45.19902029166667,538.1206548,11.905582274295737,1.1366682083333333,5.2962722,0.42113846041666664,0.8134231725,48,20,2.4849671314972026,1.987208126205643,2.445461737698127,1.6125627200316521,True,True
svm,SVM,44.2774306,531.74721375,12.009441526853186,91.67321812788718,45.53275182,537.2955786,11.800200012598316,1.07456976,5.16204465,0.41865178000000003,0.79643698,50,20,2.458831538640442,2.303637558593907,2.4783514435169987,1.9782424666263947,True,True
mlp,MLP,46.61710491304348,544.44502,11.679082624619706,91.43768365939991,47.934416652173915,550.72454555,11.489125851811606,1.134994152173913,5.7482176,0.4209408989130435,0.81887266,46,20,2.498047981451093,1.1722667798170172,2.4035053917722697,1.613598900519784,True,True
decision_tree,Decision Tree,55.2939605,535.5755766,9.685968806665603,89.67578752357916,56.50663895454545,541.8219932,9.588643090873754,1.0410435,5.877457049999999,0.41775782272727274,0.8154388075,22,20,2.2260151529018906,1.4794486409237766,2.4041188774681053,1.8500403638489025,True,True
random_forest,Random Forest,55.36961555,539.70344965,9.747285479391413,89.7407334368703,56.68268875,545.8705147,9.630286190331788,1.1416052,5.80373975,0.43343105,0.8278000625,20,20,1.9558086260418268,1.2629477820680075,2.1729979887202497,1.72011006192801,True,True
