model,backend,execution_us,throughput_rps_c32,p95_latency_ms_c32,p99_latency_ms_c32,peak_throughput_rps,peak_throughput_concurrency,pss_20_mib,pss_100_mib,pss_200_mib,memory_growth_mib_per_tenant,startup_ms,cold_to_first_result_ms,interference_p95_degradation_pct,interference_throughput_degradation_pct,interference_observations,compute_efficiency,memory_efficiency,latency_efficiency,throughput_efficiency,startup_efficiency,density_efficiency,interference_resilience
logistic_regression,wasmtime,0.29221715,9910.266304900933,3.2851091991666665,8.702518026,9910.266304900933,32,17.9992871094,18.85927734375,20.0078906249,0.0111723192551843,43.906472479166666,45.19902029166667,53.65753686561086,47.72852343688728,3,0.9874643372902386,0.9987927093447826,1.0,0.9835379638307116,0.9967747077650521,0.9996359020764148,0.7601841297096936
logistic_regression,docker,0.1835482454545454,6257.347937457615,5.419468475961539,6.162572600961538,6642.77483451105,16,49.3989160157,235.97124023455,468.40520507815,2.327670378137479,532.4884705,538.1206548,107.9732778638908,53.13520769793039,3,0.9952518522225535,0.002498336557985148,0.1950835811995485,0.13341176504542895,0.023810326283101868,0.002505271355705996,0.048987791447270834
naive_bayes,wasmtime,1.449343937254902,9296.60593016755,5.0312788375,5.1774161055,9296.60593016755,32,17.76476562485,18.63437499995,19.73958007815,0.0109745053160245,43.4386866724138,44.64807044827586,38.03704176346548,45.67513675419837,2,0.9045414241347115,0.9993888687758717,0.3414789032069657,0.8407237234779019,0.9977062585180004,0.9997210505776896,0.964714873731831
naive_bayes,docker,1.0954719,5792.178999984846,5.8948845211538465,9.779505607692307,5996.43238295128,16,49.50364257825,236.24727539065,469.47108398415,2.333114978225491,532.61803535,538.89481295,104.42567952213565,52.409746235747896,2,0.9299008752654487,0.0001300593139190731,0.015793156809932762,0.025155225799660987,0.02355231025989024,0.00016165725295946842,0.09543913140711802
decision_tree,wasmtime,0.4324079555555555,9397.70863261265,5.0206311525,5.1273202535,9397.70863261265,32,33.58730468755,34.1003808592,35.61951171865,0.0114499271572744,55.2939605,56.50663895454545,35.3422334856896,45.373936969218605,1,0.9774178755521389,0.9641052352131675,0.34549439233847956,0.8642528712635746,0.9740976130630267,0.9995164064690506,1.0
decision_tree,docker,0.196125925,5770.68091544305,5.8748099975,6.498698587,5931.84044478905,16,49.47999023445,236.45789062495,469.5296191407,2.33349053454795,535.5755766,541.8219932,106.80002108241224,52.38391987876288,1,0.9943505008407225,0.0,0.023363725581673878,0.020152079532947943,0.01766264935410533,0.0,0.06435011388811773
kmeans,wasmtime,0.1971521,9981.00224313485,4.6283718025,4.696323709,9981.00224313485,32,17.5116015625,18.3807617188,19.46453125005,0.0108491210940164,42.28686568333333,43.49359425,47.0165332157664,47.21284346366933,1,0.994276962295643,1.0,0.4934244970194157,1.0,1.0,0.9997750218935273,0.8471397229014782
kmeans,docker,0.11729142,6169.372433421905,5.592856335714286,6.208555371428571,6191.3218091086,16,49.43943359375,235.68550781255,467.91478515615,2.324757724448688,537.0251693076923,542.5557673461539,111.71459098542422,54.13418197329024,1,1.0,0.0035880009980742145,0.12969499519483652,0.11293764728285668,0.014775923936562574,0.003759015643830632,0.0
random_forest,wasmtime,4.922310415384615,9406.85613451763,4.961437607407407,5.133461985925926,9406.85613451763,32,34.047900390900004,34.4755761719,35.878203125,0.0103264600395081,55.36961555,56.68268875,37.04888638618501,48.50719688925499,1,0.6556590191726641,0.9635304485582806,0.36781765199304994,0.8663817255769285,0.973946953257247,1.0,0.9776535260090492
random_forest,docker,3.885261579487179,5717.99032943405,5.8983387125,6.538690667,5895.261474752367,16,49.4206445312,235.7152734374,468.86633789065,2.330305359887745,539.70344965,545.8705147,99.7660066975665,51.33753102408042,1,0.7299768134751996,0.0014737451713009442,0.014490501086303675,0.007889651772496413,0.009442384454459885,0.0013710502392645374,0.1564516885300974
svm,wasmtime,14.07153812,9397.9380348936,5.02280324,5.134777419,9397.9380348936,32,18.376123047,19.2697460938,20.35249023445,0.0109735727776639,44.2774306,45.53275182,58.171017074401846,47.89577116436216,2,0.0,0.9980270431804394,0.3446752477310887,0.8643062589578725,0.9960359800999838,0.9997214519864281,0.7010857810852366
svm,docker,10.79926839090909,5684.0891816825,5.9367624975,6.7334052985,5849.6661017701,16,49.52264648435,236.4492285158,468.9291308594,2.3298213931226432,531.74721375,537.2955786,104.84013847928786,52.18725865672843,2,0.23449991959013528,0.0013342254208481563,0.0,0.0,0.02528646829857628,0.0015793724883954585,0.09001231245428343
mlp,wasmtime,4.186871746938776,9423.75968278865,5.0187092875,5.118480245,9423.75968278865,32,18.64169921875,19.87099609365,21.36231445315,0.0151062772158606,46.61710491304348,47.93441665217392,51.56965749580202,50.126790021149766,2,0.708362592805617,0.9957833138935649,0.34621917223380294,0.8703156074193755,0.9913767421827437,0.997942539991557,0.7875222850077817
mlp,docker,3.7708318909090903,6205.03632789145,5.18393816,6.077596217666667,6265.1409615545,16,49.53568359385,236.4156640624,469.2202441405,2.331436011141209,544.44502,550.72454555,106.03176168004323,52.356601325340435,2,0.7381771621603128,0.0006874005749923917,0.2839075296808896,0.12123753465769939,0.0,0.0008843643155836967,0.0744095048447434
