concurrency,wasmtime_repetitions,docker_repetitions,wasmtime_rps,docker_rps,rps_ratio_wasmtime_over_docker,wasmtime_p95_ms,docker_p95_ms,p95_ratio_docker_over_wasmtime,wasmtime_p99_ms,docker_p99_ms,p99_ratio_docker_over_wasmtime,wasmtime_ci_status,docker_ci_status
1,43,43,6217.018056528,679.1357093174419,9.154308882942333,0.1950682965116279,1.6168163895348837,8.288463161098585,0.21417197372093022,1.6547334339534885,7.726190337628558,PASS,PASS
2,45,60,8316.4857836938,1900.6929879585832,4.375501901875286,0.33712587,1.4225896183333333,4.219758093122113,0.3576143742222222,1.5175523025,4.243543917384569,PASS,MAX-REPS/CI
4,20,60,8860.6461072613,3731.537762530417,2.3745293954234974,0.65053315,1.5003549383333332,2.306346630196068,0.683065173,1.9480642131666666,2.8519448658329805,PASS,MAX-REPS/CI
8,24,44,9078.097403427042,5670.089710302545,1.601050048102793,1.2833779416666666,1.6851553636363636,1.3130624338516574,1.3388061083333334,1.8063764088636363,1.3492442241037998,PASS,PASS
16,20,20,9381.60156732165,5931.84044478905,1.5815667421673683,2.52330096,2.9958027475,1.1872554225556986,2.5800694650000002,3.1274583745,1.2121605316932813,PASS,PASS
32,20,20,9397.70863261265,5770.68091544305,1.6285268186399335,5.0206311525,5.8748099975,1.1701337578990771,5.1273202535,6.498698587,1.267464926257312,PASS,PASS
64,60,60,9152.900906577366,5410.91970598505,1.6915610291635428,6.887671303333334,12.0257612575,1.7459836173773353,30.696441978166668,33.82653589,1.1019692742911267,MAX-REPS/CI,MAX-REPS/CI
128,60,54,8805.204283385334,5179.012555097241,1.7001704841821934,14.0116994875,25.12323993888889,1.7930187527431363,51.10311432066667,63.22458553314815,1.2371963308619613,MAX-REPS/CI,PASS
256,29,27,8636.601243183552,4921.378287764518,1.7549151351879988,53.484932648275866,94.14865912777778,1.7602837746269975,77.74039925206897,120.38666656,1.5485727847840458,PASS,PASS
