backend_wasmtime,concurrency,n_wasmtime,throughput_rps_wasmtime,throughput_ci95_halfwidth_wasmtime,throughput_relative_ci_pct_wasmtime,mean_latency_ms_wasmtime,p50_latency_ms_wasmtime,p90_latency_ms_wasmtime,p95_latency_ms_wasmtime,p95_ci95_halfwidth_wasmtime,p95_relative_ci_pct_wasmtime,p99_latency_ms_wasmtime,p99_ci95_halfwidth_wasmtime,p99_relative_ci_pct_wasmtime,max_error_rate_wasmtime,status_wasmtime,backend_docker,n_docker,throughput_rps_docker,throughput_ci95_halfwidth_docker,throughput_relative_ci_pct_docker,mean_latency_ms_docker,p50_latency_ms_docker,p90_latency_ms_docker,p95_latency_ms_docker,p95_ci95_halfwidth_docker,p95_relative_ci_pct_docker,p99_latency_ms_docker,p99_ci95_halfwidth_docker,p99_relative_ci_pct_docker,max_error_rate_docker,status_docker,throughput_ratio_wasmtime_to_docker,throughput_improvement_pct,p95_reduction_pct,p99_reduction_pct
wasmtime,1,30,6171.355810211634,136.78836560231784,2.216504278945909,0.15655504406666665,0.1513011166666667,0.16477375000000002,0.20510442833333334,0.004536762539806577,2.2119281268922593,0.213760069,0.005200712254929293,2.4329671482887165,0.0,PASS,docker,43,678.0940247024649,15.380538238028397,2.268201411268458,1.4524550756744183,1.5246994767441862,1.6034628441860468,1.6171201197674419,0.039261223393889336,2.427848303534526,1.653045348604651,0.040776363787311705,2.4667419936017705,0.0,PASS,9.101032578659737,810.1032578659737,87.3166856422002,87.06871114089904
wasmtime,2,30,8476.308710949199,151.4841323397881,1.7871474188299652,0.23049778853333336,0.2153132333333333,0.23864862,0.3353054983333333,0.008299921485481124,2.4753311612057196,0.34881345166666666,0.007019588025349168,2.0124189568403548,0.0,PASS,docker,60,1805.8882672617,60.15314320610793,3.330944903768559,1.1108144584000001,1.0478381416666667,1.446842853333333,1.5128600950000002,0.0688335688787121,4.549896524219716,1.6152633798333333,0.07475892232589727,4.6282806419849045,0.0,MAX-REPS,4.693706063998064,369.37060639980643,77.83631814722874,78.40516562056536
wasmtime,4,20,8902.907486518901,30.851084606198885,0.3465281948949227,0.4430845143,0.422015975,0.45801408499999996,0.651672375,0.0015201012115650002,0.23326156975197856,0.678097107,0.002301225566980998,0.33936519463443127,0.0,PASS,docker,60,3685.629133133967,49.509247657714276,1.343305196190902,1.0771366652666667,1.0681334249999999,1.2779901316666666,1.5738094008333334,0.050836925062335406,3.230183085411563,2.0141645258333334,0.02617745323618058,1.299668070827035,0.0,MAX-REPS,2.415573343091244,141.5573343091244,58.5926749036485,66.3335790943172
wasmtime,8,23,9071.839909874823,161.5538637035388,1.7808279831711447,0.8763493308260869,0.8282093478260869,0.8904332347826085,1.2929177586956524,0.02559130611558892,1.9793452401339482,1.3389945439130435,0.032858290626182556,2.453952540400824,0.0,PASS,docker,60,5834.985068158051,154.90900714851446,2.6548312521631714,1.3698106178333334,1.3657045083333337,1.593653135,1.6905369658333333,0.016119233554580902,0.95349784597198,1.8480957035,0.014833149315130382,0.8026180293065316,0.0,MAX-REPS,1.5547323264596735,55.47323264596735,23.520290604333425,27.54733743619444
wasmtime,16,49,9134.73184249,149.06269439684027,1.6318234291616367,1.7472078380816327,1.6521181428571425,1.8527512346938775,2.5916467785714286,0.05637233416775796,2.1751549877036718,2.658205509183674,0.06519889001609125,2.4527407602925932,0.0,PASS,docker,25,5996.432382951281,146.74650087859956,2.4472301446410194,2.6595463441200002,2.65543364,2.935008128,3.0170910099999997,0.012629728005763369,0.4186061329904453,3.4525358892000004,0.021205529643670614,0.6142015702140674,0.0,PASS,1.5233611019214284,52.33611019214284,14.101140138579083,23.007157796711088
wasmtime,32,20,9296.60593016755,15.731309213539378,0.16921561838489002,3.4164565538000007,3.232906,3.4522354050000006,5.0312788374999995,0.009430616211790688,0.1874397447722592,5.177416105499999,0.03694558096734421,0.7135911082769011,0.0,PASS,docker,26,5792.178999984846,139.33430739370863,2.405559417173971,5.504966707115385,5.406721423076923,5.797609399999999,5.8948845211538465,0.03135889779840095,0.5319679747053443,9.779505607692307,0.058543354798384635,0.5986330715157618,0.0,PASS,1.6050273878262176,60.502738782621755,14.650086537824281,47.05850875091705
wasmtime,64,60,9058.295880047566,15.172286976721452,0.16749604095115714,6.963338006283333,6.518085416666667,6.623643205,7.964104359166667,0.2289146273990017,2.8743298313955603,34.19983996416667,0.8728298306723832,2.552145950352113,0.0,MAX-REPS,docker,60,5436.468613548465,14.690962668953578,0.2702298810728269,11.651362127650001,11.304575316666668,11.736726701666667,11.976939601666665,0.031010621440255178,0.25891941073110075,32.44784298633333,1.3153658160343686,4.053785074676262,0.0,MAX-REPS,1.6662095422519287,66.62095422519288,33.50467962568323,-5.399425097598209
