concurrency,wasmtime_n,docker_n,wasmtime_rps,docker_rps,rps_ratio,wasmtime_p95_ms,docker_p95_ms,wasmtime_p99_ms,docker_p99_ms
1,43,60,5999.202898711163,729.81612682125,8.220156664447778,0.20640227906976744,1.5209603866666668,0.2289084406976744,1.5623747596666666
2,41,60,8407.728530743074,1912.82951996905,4.395440598846004,0.33774973780487805,1.3909300141666667,0.3577529856097561,1.4751074426666666
4,20,60,8944.8329102831,3678.928992554533,2.431368729427987,0.642388505,1.528881245,0.680401233,1.9953009173333334
8,20,20,9202.1673593752,5615.23907350305,1.6387846071947307,1.2823814025,1.6691541775,1.331299102,1.7912024745
16,20,20,9360.29588865415,5849.6661017701,1.600141909949653,2.531071495,3.0136914125,2.5802276219999998,3.1549361725000002
32,20,20,9397.9380348936,5684.0891816825,1.6533762463086117,5.02280324,5.9367624975,5.134777419,6.7334052985
64,60,60,9110.329477525283,5405.500804408533,1.6853812083600512,7.0604650908333335,12.0438291675,31.222706928833333,33.106590987
128,50,46,8778.86982645036,5152.596242495913,1.703776002095185,14.072043711,25.539315934782607,51.0885673366,65.43519308913044
256,60,30,8616.023580744433,4931.899442487733,1.7469990378389317,54.002408863333336,94.68612222166666,79.46572433783334,119.08766269233334
