concurrency,wasmtime_n,docker_n,wasmtime_rps,docker_rps,throughput_ratio,wasmtime_p95_ms,docker_p95_ms,wasmtime_p99_ms,docker_p99_ms
1,32,60,6065.910532823469,733.3940003204833,8.271011939247863,0.2046728140625,1.5128288766666667,0.220545635,1.5599643138333332
2,43,60,8367.249554744674,1939.6139109932667,4.313873759783382,0.3348571,1.370341395,0.3582842827906977,1.4595077985
4,29,60,8759.016287874587,3696.43254769045,2.3695863984714842,0.6500937913793103,1.5268716725,0.6964173875862069,1.9835638388333334
8,33,20,9188.87015709185,5609.90173814575,1.6379734594298014,1.2657214545454545,1.68198835,1.328231630909091,1.7958813155
16,20,60,9381.3945812969,5895.261474752367,1.591344950766746,2.528020435,3.0260835983333334,2.580483836,3.1821109696666667
32,27,20,9406.85613451763,5717.99032943405,1.645133271054114,4.961437607407407,5.8983387125,5.133461985925926,6.538690667
64,60,60,9159.7366080534,5417.574211903733,1.690745017932052,6.875828755833333,12.112896531666667,30.542752371666666,33.816615363333334
128,55,41,8792.964609946019,5166.645041665463,1.701871241209095,14.036561021818182,25.210288626829268,51.766747220727275,62.885002531707315
256,43,31,8625.604715743511,4929.898330999225,1.7496516432206453,53.42090345,93.53632937580645,78.36380969372092,118.37051725580645
