model,wasmtime_mean_ns,docker_mean_ns,wasmtime_us,docker_us,wasmtime_over_docker,docker_speedup,wasmtime_repetitions,docker_repetitions,wasmtime_relative_ci_pct,docker_relative_ci_pct,wasmtime_ci_pass,docker_ci_pass
logistic_regression,292.21715,183.54824545454545,0.29221715,0.18354824545454546,1.5920454552771288,1.5920454552771288,20,22,2.43677820907385,2.398125523278921,True,True
naive_bayes,1449.343937254902,1095.4719,1.449343937254902,1.0954719,1.3230315969354411,1.3230315969354411,51,20,2.497452470793735,1.0894363703021854,True,True
decision_tree,432.40795555555553,196.125925,0.43240795555555556,0.196125925,2.2047465451370365,2.2047465451370365,27,32,2.4572326449321285,2.4445806841708837,True,True
kmeans,197.1521,117.29142,0.1971521,0.11729142000000001,1.680874014484606,1.680874014484606,58,60,2.4611076304865294,3.049486087349689,True,False
random_forest,4922.310415384615,3885.2615794871795,4.922310415384615,3.8852615794871794,1.2669186654954432,1.2669186654954432,26,39,2.418234916083058,2.482119518852764,True,True
svm,14071.53812,10799.26839090909,14.07153812,10.79926839090909,1.303008464151658,1.303008464151658,60,22,3.9596651641263065,2.402239670711257,False,True
mlp,4186.871746938776,3770.831890909091,4.186871746938776,3.7708318909090908,1.110331053747767,1.110331053747767,49,22,2.468066641221911,2.484990476460408,True,True
